N;Time_CUBLAS_DotProduct;Time_DotProd_shared;Time_mmsszz_shared;Time_mmsszz_worp_shuffel;Adapt;Time_mmsszz_worp_shuffel_addapt
10;0.02597;0.02599;0.04336;0.0234;1;0.02335
100;0.02599;0.04336;0.0234;0.02335;1;0.02575
1000;0.04336;0.0234;0.02335;0.02575;4;0.0258
10000;0.0234;0.02335;0.02575;0.0258;40;0.04364
30000;0.02335;0.02575;0.0258;0.04364;118;0.01355
100000;0.02575;0.0258;0.04364;0.01355;391;0.0135
1000000;0.0258;0.04364;0.01355;0.0135;3907;0.01515
10000000;0.04364;0.01355;0.0135;0.01515;39063;0.01404
100000000;0.01355;0.0135;0.01515;0.01404;390625;0.02358
